timestamp_ns,accel_x,accel_y,accel_z
6532054460368,0.9848946,0.40210724,0.281913
6532054460368,0.9848946,0.40210724,0.281913
6532059190159,0.635379,-0.08265972,0.47309375
6532063919951,0.29642177,-0.43265343,0.5698725
6532073379534,-0.22000873,-0.3381014,0.5586297
6532073379534,-0.22000873,-0.3381014,0.5586297
6532078109326,-0.30194855,0.10481453,0.41650298
6532092298701,0.76851887,0.5825243,1.73454
6532106488076,0.65496117,-0.8623686,2.3469002
6532106488076,0.65496117,-0.8623686,2.3469002
6532111217868,0.9002572,-1.6292853,1.8741055
6532120677451,1.4291105,-1.0360966,-0.9036112
6532125407243,2.0064437,-0.16117,-1.8057157
6532130137034,2.506126,0.7816696,-2.1316695
6532139596618,2.958561,2.243,-1.9548662
6532144326409,3.147481,2.8195028,-1.7158774
6532153785993,3.018978,3.6631126,-1.3418785
6532158515784,2.7042413,3.9377422,-1.3877411
6532163245576,2.3033614,4.138295,-1.5939307
6532172705159,1.5339987,4.4173403,-2.3396597
6532177434951,1.302267,4.5338573,-2.5747135
6532191624326,1.7179418,5.700057,-1.7853948
6532196354118,2.0648808,6.397438,-1.342006
6532205813701,2.7622495,8.740684,-0.9394038
6532210543493,2.7777412,9.963124,-0.5915391
6532224732868,1.3225837,12.110133,1.783336
6532229462659,0.5950147,12.834344,2.4005127
6532248381826,-2.5784898,14.898487,2.0975072
6532253111618,-3.5621173,15.15101,1.6758922
6532272030836,-5.5620894,17.124931,0.1055983
6532276760628,-6.261385,17.593693,-0.27196637
6532290950003,-7.3457747,18.517376,-1.5918577
6532290950003,-7.3457747,18.517376,-1.5918577
6532295679795,-7.5215387,18.407137,-1.6629536
6532305139378,-8.445266,17.720608,-1.3892195
6532305139378,-8.445266,17.720608,-1.3892195
6532309869170,-8.825432,17.338913,-1.3004677
6532324058545,-7.8879533,15.910305,-0.41059935
6532324058545,-7.8879533,15.910305,-0.41059935
6532328788336,-7.3077755,15.19666,0.22965476
6532333518128,-6.861739,14.476541,0.7600485
6532342977763,-6.43999,12.922948,1.1520612
6532342977763,-6.43999,12.922948,1.1520612
6532347707555,-5.981448,12.199965,1.2675773
6532352437347,-5.3197007,11.411831,1.6201643
6532361896930,-3.8149815,9.071499,2.671496
6532361896930,-3.8149815,9.071499,2.671496
6532366626722,-2.9172478,7.595832,2.862622
6532371356513,-1.9016002,6.1600733,2.5666914
6532380816097,0.33073404,3.4329386,1.7132478
6532380816097,0.33073404,3.4329386,1.7132478
6532385545888,1.2793745,1.901864,1.712677
6532395005472,2.031763,-1.3217497,1.7513471
6532395005472,2.031763,-1.3217497,1.7513471
6532399735263,1.5986719,-2.8833208,1.9445877
6532404465107,0.8040832,-4.440353,2.0893779
6532409194899,-0.108647,-5.9093003,2.1158156
6532413924691,-1.1070876,-7.2712183,2.0781913
6532418654482,-2.0396297,-8.550251,2.0725918
6532428114066,-3.546597,-10.671876,1.6500332
6532428114066,-3.546597,-10.671876,1.6500332
6532432843857,-3.979931,-11.368851,0.85855997
6532437573649,-4.216111,-11.780565,0.5326352
6532447033232,-3.9667966,-11.754172,0.13283703
6532447033232,-3.9667966,-11.754172,0.13283703
6532451763024,-3.5038586,-11.0995865,0.38665405
6532456492868,-3.4160776,-11.033672,0.41400367
6532461222659,-3.25374,-10.998871,0.44672918
6532470682243,-2.7772987,-11.084502,0.40384156
6532470682243,-2.7772987,-11.084502,0.40384156
6532475412034,-2.4514618,-11.149781,0.40638202
6532480141826,-1.963858,-11.22681,0.37018225
6532489601409,-0.6197612,-10.967117,0.098939896
6532494331201,-0.10878023,-10.752636,0.05149642
6532508520628,0.3010605,-10.494924,-0.0092679225
6532513250420,0.31979904,-10.457616,0.025087368
6532522710003,0.25614473,-10.421132,0.021252979
6532527439795,0.23819911,-10.3860855,0.035731494
6532541629222,0.121941626,-12.94974,-1.4300066
6532546359013,-0.06674501,-14.691624,-2.0595636
6532555818597,-0.6362044,-16.982086,-1.3952613
6532560548388,-0.8878392,-17.26481,-0.67024946
6532574737816,0.5100359,-13.041605,-0.57986975
6532579467607,0.27711117,-13.638988,1.3205193
6532593656982,0.38525605,-11.29601,2.1342185
6532607846409,-0.79514456,-9.042999,-2.4276533
6532612576201,-1.2973933,-8.132387,-2.580854
6532626765576,-2.4899805,-5.9014783,-2.1867254
6532631495368,-2.460743,-5.5211163,-1.7652018
6532636225211,-2.4809482,-5.320472,-1.2456512
6532650414586,-1.1223239,-5.664205,-0.38240522
6532655144378,-0.5850737,-6.0035877,0.048091516
6532664603961,0.26369262,-6.1161585,0.34113455
6532669333805,0.63763046,-6.0784364,0.28826594
6532674063597,0.89631796,-6.338769,-0.26216266
6532683523180,1.0126617,-6.877532,-1.6340709
6532688252972,1.1421913,-6.9029984,-1.9529233
6532697712555,1.4563572,-6.551682,-1.9870486
6532707172191,1.167951,-6.58002,-1.3844162
6532707172191,1.167951,-6.58002,-1.3844162
6532716631774,0.8382395,-6.7853727,-1.0655605
6532721361566,0.8067296,-6.8939514,-0.90698826
6532726091357,0.6931053,-6.977639,-0.6570595
6532730821201,0.74086016,-7.25624,-0.27585858
6532735550993,0.26752234,-7.234724,-0.29507598
6532740280784,-0.1733756,-7.197733,-0.3784195
6532745010576,-0.38013914,-7.149984,-0.3885841
6532749740368,-0.33738136,-7.067567,-0.41065067
6532754470211,-0.09312141,-6.914775,-0.36001307
6532759200003,0.40580583,-6.7420483,-0.1283946
6532763929795,1.0338837,-6.6308994,0.1700368
